LinkID,Time,Speed
5046,513,46.3765
5046,550,41.4947
5046,588,41.4947
5046,626,41.4947
5046,664,41.4947
5046,704,41.4947
5046,722,41.4947
5046,745,39.42
5046,788,39.42
5046,839,39.42
5046,886,32.85
5046,929,32.85
5046,978,7.4377
5046,1024,32.85
5046,1068,32.85
5046,1110,2.8985
5046,1151,32.85
5046,1194,41.4947
5046,1242,41.4947
5046,1293,41.4947
5046,1345,41.4947
5046,1396,41.4947
5047,45,34.65
5047,369,26.8258
5047,406,26.8258
5047,442,19.3395
5047,477,19.3395
5047,513,5.3652
5047,550,6.6528
5047,588,6.6528
5047,626,6.1147
5047,664,5.2302
5047,704,6.1147
5047,722,22.4757
5047,745,4.95
5047,788,6.3969
5047,839,6.3969
5047,886,3.7459
5047,929,15.12
5047,978,3.7459
5047,1024,3.4795
5047,1068,2.5588
5047,1110,4.62
5047,1151,17.6936
5047,1194,22.4757
5047,1242,22.4757
5047,1293,22.4757
5047,1345,22.4757
5047,1396,22.4757
5059,45,41.4
5059,369,35.0308
5059,406,35.0308
5059,442,25.3
5059,477,25.3
5059,513,25.3
5059,550,24.9534
5059,588,24.9534
5059,626,15.4373
5059,664,12.3081
5059,704,15.4373
5059,722,31.4069
5059,745,25.6563
5059,788,25.6563
5059,839,25.6563
5059,886,5.2046
5059,929,5.8385
5059,978,4.6234
5059,1024,9.0627
5059,1068,3.5166
5059,1110,3.5166
5059,1151,3.2471
5059,1194,31.4069
5059,1242,31.4069
5059,1293,31.4069
5059,1345,31.4069
5059,1396,31.4069
5060,45,30.48
5060,369,24.7135
5060,406,23.7506
5060,442,16.778
5060,477,16.778
5060,513,16.778
5060,550,16.778
5060,588,23.1494
5060,626,14.5143
5060,664,14.5143
5060,704,14.5143
5060,722,24.384
5060,745,14.9902
5060,788,14.9902
5060,839,14.9902
5060,886,12.9702
5060,929,9.144
5060,978,12.9702
5060,1024,12.9702
5060,1068,14.0677
5060,1110,14.0677
5060,1151,14.0677
5060,1194,24.384
5060,1242,24.384
5060,1293,24.384
5060,1345,24.384
5060,1396,24.384
5284,45,35.1
5284,369,35.1
5284,406,35.1
5284,442,35.1
5284,477,35.1
5284,513,35.1
5284,550,35.1
5284,588,35.1
5284,626,35.1
5284,664,35.1
5284,704,35.1
5284,722,31.2
5284,745,35.1
5284,788,35.1
5284,839,35.1
5284,886,35.1
5284,929,35.1
5284,978,35.1
5284,1024,35.1
5284,1068,35.1
5284,1110,35.1
5284,1151,35.1
5284,1194,31.2
